Station;Date;Annee;Cle;Mois;Jour;Saison;Partenaire;Province;Bassin
QU02OF3004;2019-08-12T00:00:00Z;2019;QU02OF3004_2019-08-12 00:00:00;8;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-08-20T00:00:00Z;2019;QU02OF3004_2019-08-20 00:00:00;8;20;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-08-27T00:00:00Z;2019;QU02OF3004_2019-08-27 00:00:00;8;27;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-09-03T00:00:00Z;2019;QU02OF3004_2019-09-03 00:00:00;9;3;Fall;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-09-10T00:00:00Z;2019;QU02OF3004_2019-09-10 00:00:00;9;10;Fall;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OF3004;2019-09-17T00:00:00Z;2019;QU02OF3004_2019-09-17 00:00:00;9;17;Fall;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-05-08T11:35:00Z;2017;QU02OG3007_2017-05-08 11:35:00;5;8;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-05-15T11:05:00Z;2017;QU02OG3007_2017-05-15 11:05:00;5;15;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-05-25T11:10:00Z;2017;QU02OG3007_2017-05-25 11:10:00;5;25;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-05-30T10:45:00Z;2017;QU02OG3007_2017-05-30 10:45:00;5;30;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-06-05T09:05:00Z;2017;QU02OG3007_2017-06-05 09:05:00;6;5;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-06-12T10:55:00Z;2017;QU02OG3007_2017-06-12 10:55:00;6;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-06-19T10:40:00Z;2017;QU02OG3007_2017-06-19 10:40:00;6;19;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-06-27T10:45:00Z;2017;QU02OG3007_2017-06-27 10:45:00;6;27;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-07-04T11:05:00Z;2017;QU02OG3007_2017-07-04 11:05:00;7;4;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-07-12T10:55:00Z;2017;QU02OG3007_2017-07-12 10:55:00;7;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-07-20T11:00:00Z;2017;QU02OG3007_2017-07-20 11:00:00;7;20;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-07-25T11:00:00Z;2017;QU02OG3007_2017-07-25 11:00:00;7;25;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-08-03T10:50:00Z;2017;QU02OG3007_2017-08-03 10:50:00;8;3;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-08-10T10:45:00Z;2017;QU02OG3007_2017-08-10 10:45:00;8;10;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-08-14T10:40:00Z;2017;QU02OG3007_2017-08-14 10:40:00;8;14;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-08-21T10:45:00Z;2017;QU02OG3007_2017-08-21 10:45:00;8;21;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2017-08-30T09:35:00Z;2017;QU02OG3007_2017-08-30 09:35:00;8;30;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-05-16T10:50:00Z;2018;QU02OG3007_2018-05-16 10:50:00;5;16;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-05-24T11:50:00Z;2018;QU02OG3007_2018-05-24 11:50:00;5;24;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-05-31T10:55:00Z;2018;QU02OG3007_2018-05-31 10:55:00;5;31;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-06-07T10:20:00Z;2018;QU02OG3007_2018-06-07 10:20:00;6;7;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-06-12T10:35:00Z;2018;QU02OG3007_2018-06-12 10:35:00;6;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-06-20T10:35:00Z;2018;QU02OG3007_2018-06-20 10:35:00;6;20;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-06-27T11:45:00Z;2018;QU02OG3007_2018-06-27 11:45:00;6;27;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-07-05T11:10:00Z;2018;QU02OG3007_2018-07-05 11:10:00;7;5;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-07-11T11:20:00Z;2018;QU02OG3007_2018-07-11 11:20:00;7;11;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-07-19T11:20:00Z;2018;QU02OG3007_2018-07-19 11:20:00;7;19;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-07-25T11:40:00Z;2018;QU02OG3007_2018-07-25 11:40:00;7;25;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-07-31T11:17:00Z;2018;QU02OG3007_2018-07-31 11:17:00;7;31;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-08-08T11:35:00Z;2018;QU02OG3007_2018-08-08 11:35:00;8;8;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-08-15T11:15:00Z;2018;QU02OG3007_2018-08-15 11:15:00;8;15;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-08-22T11:20:00Z;2018;QU02OG3007_2018-08-22 11:20:00;8;22;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-08-29T10:25:00Z;2018;QU02OG3007_2018-08-29 10:25:00;8;29;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2018-09-05T10:30:00Z;2018;QU02OG3007_2018-09-05 10:30:00;9;5;Fall;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-05-27T00:00:00Z;2019;QU02OG3007_2019-05-27 00:00:00;5;27;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-06-04T00:00:00Z;2019;QU02OG3007_2019-06-04 00:00:00;6;4;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-06-11T00:00:00Z;2019;QU02OG3007_2019-06-11 00:00:00;6;11;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-06-18T00:00:00Z;2019;QU02OG3007_2019-06-18 00:00:00;6;18;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-06-25T00:00:00Z;2019;QU02OG3007_2019-06-25 00:00:00;6;25;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-07-02T00:00:00Z;2019;QU02OG3007_2019-07-02 00:00:00;7;2;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-07-09T00:00:00Z;2019;QU02OG3007_2019-07-09 00:00:00;7;9;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-07-16T00:00:00Z;2019;QU02OG3007_2019-07-16 00:00:00;7;16;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-07-23T00:00:00Z;2019;QU02OG3007_2019-07-23 00:00:00;7;23;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OG3007;2019-07-30T00:00:00Z;2019;QU02OG3007_2019-07-30 00:00:00;7;30;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
